pais,Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;;
ALEMANIA REP. FED.,TECUN UMAN,06/03/2017, 8703237900,2007,BMW,328i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24650.95,2958.11,;;
ALEMANIA REP. FED.,TECUN UMAN,11/02/2017, 8703237900,2007,BMW,328Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17325.88,2079.11,;;
ALEMANIA REP. FED.,TECUN UMAN,06/03/2017, 8703237900,2009,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23071.38,2768.57,;;
ESTADOS UNIDOS,TECUN UMAN,04/03/2017, 8703237900,2008,BMW,X5 3.0I AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,56321.85,6758.62,;;
ESTADOS UNIDOS,PUERTO BARRIOS,17/02/2017, 8703236900,2014,BMW,X3 XDRIVE 28I 4WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,64638.29,7756.59,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/03/2017, 8703237900,2002,BMW,325XI,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,7690.98,922.92,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,22/02/2017, 8703237900,2007,BMW,335XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16733.31,2008,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,07/03/2017, 8703237900,2006,BMW,3 SERIES 325XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20615.36,2473.84,;;
ALEMANIA REP. FED.,TECUN UMAN,06/03/2017, 8703237900,2006,BMW,325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12631.49,1515.78,;;
ESTADOS UNIDOS,EL CARMEN,18/02/2017, 8703237900,2004,BMW,Z4 CONVERTIBLE 2.5i,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,21200.54,2544.06,;;
ALEMANIA REP. FED.,TECUN UMAN,21/02/2017, 8703236900,1991,BMW,318IS,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,11658.5,1399.02,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,09/02/2017, 8703237900,2004,BMW,325Ci,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,8612.39,1033.49,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,28/02/2017, 8711509000,1998,BMW,R1100 RS,1100,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,10402.55,1248.31,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/03/2017, 8703237900,2008,BMW,335I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28747.75,3449.73,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,08/02/2017, 8703237900,2006,BMW,325 Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19107.19,2292.86,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,03/03/2017, 8703237900,2004,BMW,X3 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18161.92,2179.43,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,22/02/2017, 8703237900,2010,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,26603.74,3192.45,;;
ALEMANIA REP. FED.,EL CARMEN,04/03/2017, 8703237900,2006,BMW,325Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16170.96,1940.52,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,16/02/2017, 8703236900,2015,BMW,X1 S DRIVE 28I 4X2,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,66527.43,7983.29,;;
ALEMANIA REP. FED.,TECUN UMAN,16/02/2017, 8703237900,2006,BMW,325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18320.97,2198.52,;;
ESTADOS UNIDOS,EL CARMEN,16/02/2017, 8703249000,2013,BMW,X5 XDrive50i,4400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,122090.43,14650.85,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,08/02/2017, 8703237900,2001,BMW,325I,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9222.62,1106.71,;;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,22/02/2017, 8703237900,2005,BMW,X5 3.0I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22298.79,2675.85,;;
ALEMANIA REP. FED.,EL CARMEN,20/02/2017, 8703237900,1998,BMW,528i,2800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24210.01,2905.2,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,14/02/2017, 8703237900,2004,BMW,X3 2.5i 4X4,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18093.13,2171.18,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,24/02/2017, 8703237900,2004,BMW,X3 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14321.89,1718.63,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,10/02/2017, 8703237900,2007,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19556.68,2346.8,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,22/02/2017, 8703237900,2007,BMW,X3 3.0 SI 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22763.19,2731.58,;;
ALEMANIA REP. FED.,TECUN UMAN,02/03/2017, 8703237900,2004,BMW,X3 AWD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,19361.97,2323.44,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,28/02/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17573.87,2108.86,;;
ESTADOS UNIDOS,G4; ALSERSA,20/02/2017, 8703237900,2012,BMW,X5 XDRIVE 35I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,113308.41,13597.01,;
ALEMANIA REP. FED.,G1; INTEGRADA,23/02/2017, 8703237900,2006,BMW,3 SERIES 330I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13390.12,1606.81,;
