Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;;
CANADA,TECUN UMAN,05/09/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26239.9,3148.79,;;
JAPON,EL CARMEN,04/09/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10334.6,1240.15,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,STX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8486.96,1018.44,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,STX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8486.96,1018.44,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,STX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8486.96,1018.44,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,STX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8486.96,1018.44,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,STX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8486.96,1018.44,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,STX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8486.96,1018.44,;;
ITALIA,PUERTO BARRIOS,09/08/2016, 871190002003,2017,APRILIA,TUONO V4 1100 FACTORY,1077,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,102338.53,12280.62,;;
ITALIA,PUERTO BARRIOS,09/08/2016, 871190002003,2017,APRILIA,TUONO V4 1100 FACTORY,1077,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,102338.53,12280.62,;;
ITALIA,PUERTO BARRIOS,09/08/2016, 871190002003,2017,APRILIA,TUONO V4 1100 FACTORY,1077,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,102338.53,12280.62,;;
ITALIA,PUERTO BARRIOS,09/08/2016, 871190002003,2017,APRILIA,CAPONORD 1200 RALLY,1197,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,103335.04,12400.2,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
