CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHILE,G5; CEALSA,20/04/2016, 87113090,2016,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,20251.71,2430.21,
CHILE,G5; CEALSA,20/04/2016, 87113090,2016,APRILIA,SR MAX 300,278,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,20251.63,2430.2,
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
