"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,310659.05,37279.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,310659.05,37279.09,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,319692.55,38363.11,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,319692.55,38363.11,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,319692.55,38363.11,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1042KN,2771,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,319692.55,38363.11,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1070KN,3920,PESADO,CAMION,OCASIONAL,DIESEL,3,2,5.25,106950.38,12834.05,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1070KN,3920,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,320851.15,38502.14,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1070KN,3920,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,320851.15,38502.14,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1070KN,3920,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,320851.15,38502.14,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1070KN,3920,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,221305.7,26556.68,",
"CHINA,PUERTO QUETZAL,23/03/2018, 8704229000,2019,JAC,HFC1070KN,3920,PESADO,CAMION,OCASIONAL,DIESEL,3,2,3.4,221305.7,26556.68,",
"TAILANDIA,PUERTO BARRIOS,22/03/2018, 8703225900,2017,MITSUBISHI,MIRAGE G4,1200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16801.92,2016.23,",
"JAPON,EL CARMEN,23/03/2018, 8703237900,2015,TOYOTA,RAV4 LE 4X2,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,83470.87,10016.5,",
"ESTADOS UNIDOS,TECUN UMAN,23/03/2018, 8703236900,2003,MITSUBISHI,LANCER ES,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,9471.87,1136.62,",
"ESTADOS UNIDOS,TECUN UMAN,23/03/2018, 8704315100,1994,TOYOTA,XTRA CAB DLX 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,21323.85,2558.86,",
"ESTADOS UNIDOS,EL CARMEN,23/03/2018, 8703236900,2002,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12598.11,1511.77,",
"CANADA,PUERTO BARRIOS,23/03/2018, 8703236900,2012,TOYOTA,COROLLA,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24523.93,2942.87,",
"MEXICO,G8"," CENTRALSA,21/03/2018, 8703236900,2013,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17044.5,2045.34,"
"JAPON,EL CARMEN,20/03/2018, 8703236900,2011,MAZDA,MAZDA 3i,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16023.17,1922.78,",
"JAPON,EL CARMEN,20/03/2018, 8703237900,2005,TOYOTA,RAV4 S 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,25015.38,3001.85,",
"JAPON,SANTO TOMAS DE CASTILLA,20/03/2018, 8703226900,2005,SCION,XB,1500,LIVIANO,CAMIONETILLA,OCASIONAL,GASOLINA,5,4,0,9404.01,1128.48,",
"JAPON,EL CARMEN,20/03/2018, 8704315100,1987,TOYOTA,XTRA CAB 4X4 DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,23574.92,2828.99,",
"BRASIL,EL CARMEN,21/03/2018, 8711209000,2005,YAMAHA,TT-R230,230,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,7818.27,938.19,",
"JAPON,EL CARMEN,20/03/2018, 8704315100,1991,TOYOTA,XTRA CAB 4X4 DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,23574.85,2828.98,",
"JAPON,TECUN UMAN,21/03/2018, 8711409000,1991,SUZUKI,INTRUDER VS750GLPM,750,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,20537.78,2464.53,",
"JAPON,TECUN UMAN,22/03/2018, 8711209000,2011,HONDA,CRF250R,250,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9436.28,1132.35,",
