Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
CHINA,PUERTO QUETZAL,09/07/2018, 8711209000,2019,SUZUKI,GSX125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,359346.32,43121.56,
