Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
JAPON,EL CARMEN,02/05/2019, 8704315100,1992,TOYOTA,DLX XTRA CAB 4X4,3000,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,29838.01,3580.56,;
MEXICO,EL CARMEN,02/05/2019, 8703236900,2016,MAZDA,MAZDA3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24563.01,2947.56,;
ESTADOS UNIDOS,EL CARMEN,02/05/2019, 8704315100,2001,NISSAN,FRONTIER KING CAB XE 2WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,25879.98,3105.6,;
JAPON,EL CARMEN,02/05/2019, 8703236900,2012,MAZDA,MAZDA3 i TOURING,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17710.18,2125.22,;
REINO UNIDO,TECUN UMAN,02/05/2019, 8703237900,2002,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18054.73,2166.57,;
JAPON,PUERTO BARRIOS,02/05/2019, 8703247000,2004,TOYOTA,4RUNNER LIMITED 4WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,32970.95,3956.51,;
JAPON,TECUN UMAN,02/05/2019, 8703237900,2006,HONDA,CR-V SE 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22457.39,2694.89,;
JAPON,EL CARMEN,02/05/2019, 8704315100,1987,TOYOTA,XTRA CAB 4X2 DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,28490.95,3418.91,;
JAPON,SANTO TOMAS DE CASTILLA,02/05/2019, 8703237900,2011,MAZDA,MAZDA3 S GRAND TOURING,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8910.75,1069.29,;
JAPON,PUERTO BARRIOS,02/05/2019, 8703236900,2002,TOYOTA,RAV4 L 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,13687.45,1642.49,;
JAPON,PUERTO BARRIOS,02/05/2019, 8703236900,2014,MAZDA,CX-5 SPORT AWD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,30771.45,3692.57,;
COREA DEL SUR,PUERTO QUETZAL,03/05/2019, 8703327900,2003,KIA,SORENTO LX,2500,LIVIANO,CAMIONETA,OCASIONAL,DIESEL,7,5,0,14394.78,1727.37,;
ESTADOS UNIDOS,PUERTO BARRIOS,02/05/2019, 8703236900,2007,HONDA,CIVIC LX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13231.41,1587.77,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
