Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
JAPON,TECUN UMAN,18/02/2019, 8703237900,2005,TOYOTA,RAV4 SPORT 4X2,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21125.54,2535.06,;
JAPON,EL CARMEN,18/02/2019, 8703237900,2012,SUZUKI,GRAND VITARA BASE 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24797.2,2975.66,;
JAPON,EL CARMEN,18/02/2019, 8703215200,2004,YAMAHA,YFZ450,439,,CUATRIMOTO,OCASIONAL,GASOLINA,1,0,0,18396.92,2207.63,;
JAPON,EL CARMEN,19/02/2019, 8711209000,2003,HONDA,XR70R,72,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,3743.7,449.24,;
JAPON,G1; INTEGRADA,19/02/2019, 8703236900,2010,MAZDA,MAZDA3,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10101.15,1212.14,
JAPON,EL CARMEN,19/02/2019, 8703237900,2008,TOYOTA,RAV4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33477.76,4017.33,;
ESTADOS UNIDOS,PUERTO BARRIOS,18/02/2019, 8703249000,2007,NISSAN,PATHFINDER SE 4X2,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,21370.19,2564.42,;
ESTADOS UNIDOS,EL CARMEN,19/02/2019, 8703236900,2012,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16178.47,1941.42,;
CANADA,TECUN UMAN,19/02/2019, 8704229000,2006,STERLING,A9500,12800,PESADO,CAMION,OCASIONAL,DIESEL,2,2,10,41122.54,4934.7,;
ESTADOS UNIDOS,G8; CENTRALSA,19/02/2019, 8703236900,2018,HONDA,CIVIC LX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28055.12,3366.61,
JAPON,SANTO TOMAS DE CASTILLA,19/02/2019, 8703237900,2014,MAZDA,MAZDA6 I SPORT,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22645.49,2717.46,;
ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,19/02/2019, 8703249000,2013,FORD,EXPLORER XLT 4X2,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,46313.41,5557.61,;
COREA DEL SUR,G8; CENTRALSA,19/02/2019, 8703236900,2015,HYUNDAI,VELOSTER TURBO,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,3,0,23151.46,2778.18,
MEXICO,G8; CENTRALSA,08/02/2019, 8703236900,2016,NISSAN,VERSA NOTE SV,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25989.18,3118.7,
